Seq	Category	Code	function	scalar children	matrix children	Remarks	Implemented			
187	(terminal nodes)	5002	string	0		three attributes				
188		5003	identifier	0		one attribute				
189		5004	PI	0			yes			
190		5005	E	0			yes			
191		5006	INF	0						
192		5007	EPS	0						
193		5008	TINY	0						
194		5009	TRUE	0						
195		5010	FALSE	0						
196		5011	EULERGAMMA	0						
197		5012	NAN	0						
198	reference to problem components	5101	variable	0*		"one optional argument, two attributes"	yes			
199		5102	objective	0*		"one optional argument, one attribute"				
200		5103	constraint	0*		"one optional argument, two attributes"				
201		5104	qTerm	0*		"one optional argument, three attributes"				
202		5105	quadratic	***		one or more qTerm				
203	other lookups	5201	parameter	0		two attributes				
204		5202	randomVariable	0		two attributes				
205		5203	sim	***		"0 or more simInput, 1 simOutput, one attribute"				
206		5204	simInput	0*		"one optional argument, two attributes"				
207		5205	simOutput	0*		"one optional argument, two attributes"				
208		5206	userF	-1		one attribute				
209		5207	arg	0		one attribute				
210		5208	xPath	***		"one argument of type xPathIndex, two attributes"				
211		5209	xPathIndex	0*		"one optional argument, two attributes"				
212		5210	nodeRef	0*		"one optional argument, two attributes"				
213		5211	arcRef	0*		"one optional argument, two attributes"				
214		5212	complements	2						
215		5213	prob	1						
216		5301	prefix	***		tree				
217		5302	postfix	***		tree				
218		5303	infix	***		tree				
219	logical functions	6001	if	3		"return value 0 is ""false"", 1 is ""true"""	yes			
220		6002	lt	2		"return value 0 is ""false"", 1 is ""true"""				
221		6003	leq	2		"return value 0 is ""false"", 1 is ""true"""				
222		6004	gt	2		"return value 0 is ""false"", 1 is ""true"""				
223		6005	geq	2		"return value 0 is ""false"", 1 is ""true"""				
224		6006	eq	2		"return value 0 is ""false"", 1 is ""true"""				
225		6007	neq	2		"return value 0 is ""false"", 1 is ""true"""				
226		6008	and	2		"return value 0 is ""false"", 1 is ""true"""				
227		6009	or	2		"return value 0 is ""false"", 1 is ""true"""				
228		6010	xor	2		"return value 0 is ""false"", 1 is ""true"""				
229		6011	implies	2		"return value 0 is ""false"", 1 is ""true"""				
230		6012	not	1		"return value 0 is ""false"", 1 is ""true"""				
231		6013	forAll	>=1		"True (i.e., 1) if all children evaluate to true"				
232		6014	exists	>=1		"True (i.e., 1 ) if at least one child evaluates to true"				
233		6015	logicCount	>=1						
234		6016	allDiff	0 or more			yes			
235		6017	allDisjoint	>=1						
236		6018	atMost	>=2		"1st is k, others are conditions"				
237		6019	atLeast	>=2		"1st is k, others are conditions"				
238		6020	exactly	>=2		"1st is k, others are conditions"				
239		6021	inSet	>=2		1 if 1st argument is equal to one of the others				
240		6022	inRealSet	1		returns 1 if argument is a real number				
241		6023	inPositiveRealSet	1		returns 1 if argument is a positive real				
242		6024	inNonnegativeRealSet	1		returns 1 if argument is a nonnegative real				
243		6025	inIntegerSet	1		returns 1 if argument is an integer				
244		6026	inPositiveIntegerSet	1		returns 1 if argument is a positive integer				
245		6027	inNonnegativeIntegerSet	1		returns 1 if argument is a nonnegative integer				
246		6028	isInf	1		returns 1 if argument is infinite (in magnitude - plus/minus or modulus)				
247		6029	isNaN	1		returns 1 if either real or imaginary part (or both) is NaN				
248	real-valued matrix functions	7001	matrixDeterminant		1	"for complex-valued matrices, use complexMatrixDeterminant"	yes			
249		7002	matrixTrace		1	"for complex-valued matrices, use complexMatrixTrace"	yes			
250		7003	matrixToScalar		1	"for complex-valued matrices, use complexMatrixToScalar"	yes			
251		7004	matrixElementAt	2	1	"for complex-valued matrices, use complexMatrixElementAt"				
252		7011	matrixNorm	1	1	real-valued				
253		7012	matrixFrobeniusNorm		1	real-valued				
254		7013	matrixCondition	1	1	real-valued				
255		7014	matrixFrobeniusNormCondition		1	real-valued				
256		7021	matrixLargestEigenValue	0	1	must be real; not well-defined for non-symmetric real or non-Hermitian complex matrices				
257		7022	matrixNthLargestEigenValue	1	1	must be real; not well-defined for non-symmetric real or non-Hermitian complex matrices				
258		7023	matrixSmallestEigenValue	0	1	must be real; not well-defined for non-symmetric real or non-Hermitian complex matrices				
259		7024	matrixSubspaceAngle		>=2	real-valued				
260		7051	matrixColumnNumber		1	real-valued				
261		7052	matrixRowNumber		1	real-valued				
262		7053	matrixRank		1	real-valued				
263		7054	matrixColumnRank		1	real-valued				
264		7055	matrixRowRank		1	real-valued				
265		7061	matrixIsNonsingular		1	"returns 1 if matrix is nonsingular, 0 otherwise"				
266		7062	matrixIsPositiveDefinite		1					
267		7063	matrixIsPositiveSemidefinite		1					
268		7064	matrixIsNegativeDefinite		1					
269		7065	matrixIsNegativeSemidefinite		1					
270		7066	matrixIsIndefinite		1					
271		7067	matrixIsFullRank		1					
272		7068	matrixIsFullColumnRank		1					
273		7069	matrixIsFullRowRank		1					
274		7070	matrixIsIdentical		2					
275		7071	matrixIsSymmetric		1					
276		7072	matrixIsHermitian		1					
277	matrix-valued functions	7101	matrixPlus		2	uses complex function if one matrix is complex-valued	yes			
278		7102	matrixSum		0 or more	uses complex function if one matrix is complex-valued	yes			
279		7103	matrixMinus		2	uses complex function if one matrix is complex-valued	yes			
280		7104	matrixNegate		1	uses complex function if one matrix is complex-valued	yes			
281		7105	matrixTimes		2	uses complex function if one matrix is complex-valued	yes			
282		7106	matrixProduct		0 or more	uses complex function if one matrix is complex-valued	yes			
283		7107	matrixLeftDivide		2	uses complex function if one matrix is complex-valued				
284		7108	matrixRightDivide		2	uses complex function if one matrix is complex-valued				
285		7109	matrixPower	1	1	uses complex function if one matrix is complex-valued				
286		7110	matrixInverse		1		yes			
287		7111	matrixGeneralizedInverse		1	one attribute (value records the type of generalized inverse)				
288		7201	matrixExp		1	uses complex function if one matrix is complex-valued				
289		7202	matrixSquareRoot		1					
290		7203	matrixModulus		1	(A'A)^(1/2) - must be symmetric and positive semidefinite				
291		7204	matrixLog		1					
292		7211	matrixScalarPlus	1	1	uses complex function if matrix or scalar is complex-valued				
293		7212	matrixScalarMinus	1	1	uses complex function if matrix or scalar is complex-valued				
294		7213	matrixScalarTimes	1	1	uses complex function if matrix or scalar is complex-valued	yes			
295		7214	matrixScalarDivide	1	1	uses complex function if matrix or scalar is complex-valued				
296		7221	matrixDotTimes		2	uses complex function if one matrix is complex-valued	yes			
297		7222	matrixDotDivide		2	uses complex function if one matrix is complex-valued				
298		7223	matrixDotPower		2	uses complex function if one matrix is complex-valued				
299		7224	matrixDotExp		1	uses complex function if one matrix is complex-valued				
300		7231	matrixEigenValues		1	complex? Attribute?				
301		7232	matrixLeftEigenVectors		1	complex? Attribute?				
302		7233	matrixRightEigenVectors		1	complex? Attribute?				
303		7241	matrixCholeskyDecomposition		1					
304		7242	matrixLDLDecomposition		1	one attribute				
305		7243	matrixLUDecomposition		1	one attribute				
306		7251	matrixColumnSpace		1					
307		7252	matrixRowSpace		1					
308		7253	matrixNullSpace		1					
309		7254	matrixLeftNullSpace		1					
310		7255	matrixRightNullSpace		1					
311		7256	matrixReducedRowEchelon		1					
312		7501	matrixReference		0	one attribute: existing matrix	yes			
313		7502	matrixVar		0	one attribute: existing matrixVar	yes			
314		7503	matrixObj		0	one attribute: existing matrixObj	yes			
315		7504	matrixCon		0	one attribute: existing matrixCon	yes			
316		7512	matrixTranspose		1		yes			
317		7513	matrixBlock		1	two attributes				
318		7514	matrixMerge		>=1*	"matrixBlock objects, plus four attributes"				
319		7515	matrixSubmatrixAt	4	1		yes			
320		7516	identityMatrix	1	0	dimension!	yes			
321		7517	matrixLowerTriangle		1	one attribute	yes			
322		7518	matrixUpperTriangle		1	one attribute	yes			
323		7519	matrixDiagonal		1		yes			
324		7520	diagonalMatrixFromVector		1		yes			
325		7601	matrixAnd		2	1 wherever both matrices have a nonzero				
326		7602	matrixOr		2	1 wherever either matrix has a nonzero				
327		7603	matrixXor		2	1 wherever exactly one matrix has a nonzero				
328		7604	matrixPattern		1	1 wherever the matrix has a nonzero				
329		7605	matrixNot		1	1 wherever the matrix has a zero				
330		7606	matrixForAll		>=1	1 wherever every matrix has a nonzero				
331		7607	matrixExists		>=1	1 wherever at least one matrix has a nonzero				
332	functions of complex arguments	8001	realPart	1 (complex)		returns real-valued 		x		
333		8002	imaginaryPart	1 (complex)		returns real-valued 		y		
334		8003	complexModulus	1 (complex)		returns real-valued 		sqrt(x^2 + y^2)		
335		8004	complexArgument	1 (complex)		returns real-valued 		q in |z|e^(iq)		
336		8061	isComplexInf	1 (complex)		returns 0 or 1 			z=x+iy	
337		8062	isComplexNaN	1 (complex)		returns 0 or 1 				
338		8063	isComplexEq	1 (complex)		returns 0 or 1 				
339		8064	isComplexNeq	1 (complex)		returns 0 or 1 				
340		8101	complexPlus	2 (scalar)		returns complex-valued 				
341		8102	complexSum	0 or more (scalar)		returns complex-valued 				
342		8103	complexMinus	2 (scalar)		returns complex-valued 				
343		8104	complexNegate	1 (complex)		returns complex-valued 		-x-iy		
344		8105	complexConjugate	1 (complex)		returns complex-valued 		x-iy		
345		8106	complexNegativeConjugate	1 (complex)		returns complex-valued 		-x+iy		
346		8107	complexTimes	2 (scalar)		returns complex-valued 				
347		8108	complexDivide	2 (scalar)		returns complex-valued 				
348		8109	complexConstruct	2 (real)	0	"First child is real part, second is imaginary part"				
349		8110	complexPower	2 (scalar)		returns complex-valued 				
350		8111	complexProduct	0 or more (scalar)		returns complex-valued 				
351		8201	complexExp	1 (complex)		returns complex-valued 				
352		8202	complexSquare	1 (complex)		returns complex-valued 				
353		8203	complexSquareRoot	1 (scalar)		returns complex-valued 				
354		8301	complexSin	1 (complex)		returns complex-valued 				
355		8302	complexCos	1 (complex)		returns complex-valued 				
356		8303	complexTan	1 (complex)		returns complex-valued 				
357		8304	complexSinh	1 (complex)		returns complex-valued 				
358		8305	complexCosh	1 (complex)		returns complex-valued 				
359		8306	complexTanh	1 (complex)		returns complex-valued 				
360		8401	complexDiscrete							
361		8411	complexNormal							
362		8501	complexNumber			"several attributes, including real and imaginary part, realTime etc. "				
363		8701	complexMatrixDeterminant		1	can be complex if matrix complex-valued				
364		8702	complexMatrixTrace		1	can be complex if matrix complex-valued				
365		8703	complexMatrixToScalar		1	can be complex if matrix complex-valued				
366		8704	complexMatrixElementAt	2 (integer)	1	can be complex if matrix complex-valued				
										
										
										
										
										
										
										
